city_from_name,city_to_name,distance
Dusseldorf,Zaragoza,1214.4772
Dusseldorf,Venlo,47.3876
Dusseldorf,Bratislava,819.2894
Dusseldorf,Hamburg,339.2215
Dusseldorf,Rome,1125.029
Dusseldorf,Lille,269.0769
Dusseldorf,Liege,106.3716
Dusseldorf,Warsaw,992.3709
Dusseldorf,Paris,413.6191
Dusseldorf,Lyon,624.6864
Dusseldorf,Marseille,887.8947
Dusseldorf,Bordeaux,896.2065
Dusseldorf,Milan,665.0376
Dusseldorf,Berlin,477.3717
Dusseldorf,Madrid,1448.2241
Dusseldorf,Vienna,768.3073
Dusseldorf,Munich,487.5926
Dusseldorf,Amsterdam,182.1019
Dusseldorf,Stockholm,1149.3691
Dusseldorf,Copenhagen,627.7653
Dusseldorf,Barcelona,1149.4065
Dusseldorf,Cologne,34.4291
Dusseldorf,Athens,1984.437
Dusseldorf,Bucharest,1625.1608
Dusseldorf,Budapest,980.9822
Dusseldorf,Naples,1290.0187
Dusseldorf,Lisbon,1865.7471
Dusseldorf,Turin,687.985
Dusseldorf,Hanover,241.017
Dusseldorf,Malmö,638.922
Dusseldorf,Helsinki,1506.2793
Dusseldorf,Prague,554.9521
Dusseldorf,Valencia,1420.0225
Dusseldorf,Bremen,248.4044
Dusseldorf,Porto,1626.5104
Zaragoza,Venlo,1208.4067
Zaragoza,Bratislava,1588.623
Zaragoza,Hamburg,1551.5661
Zaragoza,Rome,1110.3378
Zaragoza,Lille,1043.724
Zaragoza,Liege,1116.0416
Zaragoza,Warsaw,2030.693
Zaragoza,Paris,839.2165
Zaragoza,Lyon,647.847
Zaragoza,Marseille,545.3384
Zaragoza,Bordeaux,355.1412
Zaragoza,Milan,916.383
Zaragoza,Berlin,1616.8146
Zaragoza,Madrid,274.1376
Zaragoza,Vienna,1539.7663
Zaragoza,Munich,1217.1632
Zaragoza,Amsterdam,1269.1074
Zaragoza,Stockholm,2363.4114
Zaragoza,Copenhagen,1841.379
Zaragoza,Barcelona,257.0251
Zaragoza,Cologne,1194.4688
Zaragoza,Athens,2138.3667
Zaragoza,Bucharest,2210.0925
Zaragoza,Budapest,1704.3119
Zaragoza,Naples,1269.832
Zaragoza,Lisbon,774.9704
Zaragoza,Turin,790.531
Zaragoza,Hanover,1436.4563
Zaragoza,Malmö,1851.0339
Zaragoza,Helsinki,2710.6631
Zaragoza,Prague,1508.5357
Zaragoza,Valencia,246.0864
Zaragoza,Bremen,1462.8167
Zaragoza,Porto,648.5823
Venlo,Bratislava,866.6269
Venlo,Hamburg,354.9956
Venlo,Rome,1160.8464
Venlo,Lille,232.4003
Venlo,Liege,92.4928
Venlo,Warsaw,1031.3584
Venlo,Paris,392.9249
Venlo,Lyon,634.0662
Venlo,Marseille,902.042
Venlo,Bordeaux,883.3809
Venlo,Milan,696.3485
Venlo,Berlin,512.8188
Venlo,Madrid,1436.9241
