units,weight,distance_port_hub,distance_hub_customer,distance_total,is_direct_shippment,prob_prod_late,origin_port_Athens,origin_port_Barcelona,origin_port_Rotterdam,3pl_v_001,3pl_v_002,3pl_v_003,3pl_v_004,customs_procedures_CRF,customs_procedures_DTD,customs_procedures_DTP,logistic_hub_Bratislava,logistic_hub_Direct shippment,logistic_hub_Dusseldorf,logistic_hub_Hamburg,logistic_hub_Liege,logistic_hub_Lille,logistic_hub_Rome,logistic_hub_Venlo,logistic_hub_Warsaw,logistic_hub_Zaragoza,customer_Amsterdam,customer_Athens,customer_Barcelona,customer_Berlin,customer_Bordeaux,customer_Bremen,customer_Bucharest,customer_Budapest,customer_Cologne,customer_Copenhagen,customer_Hanover,customer_Helsinki,customer_Lisbon,customer_Lyon,customer_Madrid,customer_Malmö,customer_Marseille,customer_Milan,customer_Munich,customer_Naples,customer_Paris,customer_Porto,customer_Prague,customer_Rome,customer_Stockholm,customer_Turin,customer_Valencia,customer_Vienna,material_handling_0.0,material_handling_1.0,material_handling_2.0,material_handling_3.0,material_handling_4.0,material_handling_5.0,late_order_t
578,1609.0,1153.4178,634.0662,1787.484,0,0.2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
640,1830.0,1153.4178,712.3703,1865.7881,0,0.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
565,1895.0,2153.58,733.8784,2887.4584,0,0.6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
617,1853.0,859.9884,697.5485,1557.5369,0,0.3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
458,1389.0,1135.6449,523.8994,1659.5443,0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
371,1725.0,1597.0905,559.1571,2156.2476,0,0.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
539,1250.0,2025.2207,812.0226,2837.2433,0,0.2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
537,1072.0,177.3075,1149.3691,1326.6765999999998,0,0.1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
386,2042.0,1030.8249,809.6745,1840.4994,0,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
628,1967.0,1597.0905,2173.2031,3770.2936,0,0.3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
528,1781.0,2025.2207,254.6944,2279.9151,0,0.3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
546,1409.0,414.4489,743.8643,1158.3132,0,0.1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
289,1895.0,414.4489,1449.0449,1863.4938,0,0.6,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
445,2383.0,1269.2365,0.0,1269.2365,0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
461,1088.0,1053.5083,1183.0545,2236.5628,0,0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
462,550.0,1149.4065,638.922,1788.3285,0,0.3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
450,1734.0,995.7185,552.9516,1548.6700999999998,0,0.2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
449,1572.0,1135.6449,1376.6802,2512.3251,0,0.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
529,2310.0,1397.414,552.9516,1950.3656,0,0.6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
479,683.0,1597.0905,1101.3447,2698.4352,0,0.2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
474,702.0,130.0459,1436.9241,1566.97,0,0.1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
515,1086.0,1984.437,665.0376,2649.4746,0,0.5,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
506,1409.0,1030.8249,1211.1302,2241.9551,0,0.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
